THQ ERP V4.7.3 STATIC RELEASE VERIFICATION
Passed: 830/830

PASS | admin_panel version 4.7.3+7
PASS | client_app version 4.7.3+7
PASS | pos_app version 4.7.3+7
PASS | erp_core version 4.7.3
PASS | shared app version 4.7.3
PASS | shared minimum migration 119
PASS | shared release name
PASS | pos_terminal_day_v473 defined
PASS | pos_terminal_invoices_v473 defined
PASS | pos_sales_today_v473 defined
PASS | pos_purchases_today_v473 defined
PASS | pos_expenses_today_v473 defined
PASS | pos_return_documents_today_v473 defined
PASS | migration 119 registered
PASS | backend contract app 4.7.3
PASS | backend contract release name
PASS | Terminal Daily strips detailed shift rows
PASS | historical held invoices not reported
PASS | invoice history exact terminal
PASS | invoice history selected day
PASS | return lookup exact terminal/day
PASS | POS sales current day exact terminal
PASS | POS purchases current day exact terminal
PASS | POS expenses current day exact terminal
PASS | sales today balance is return aware
PASS | purchase today balance is return aware
PASS | upgrade 119 mirror exists
PASS | upgrade 119 mirror byte-identical
PASS | post-check covers pos_terminal_day_v473
PASS | post-check covers pos_terminal_invoices_v473
PASS | post-check covers pos_sales_today_v473
PASS | post-check covers pos_purchases_today_v473
PASS | post-check covers pos_expenses_today_v473
PASS | post-check covers pos_return_documents_today_v473
PASS | Admin dashboard is refreshable stateful
PASS | Admin visible Refresh control
PASS | client_app refresh function
PASS | client_app refreshes business object
PASS | client_app refresh strict runtime
PASS | client_app strict refresh does not silently stale
PASS | client_app refresh runtime binding persisted
PASS | client_app local store id updated after refresh
PASS | client_app active content remounted on refresh
PASS | client_app refreshes navigation
PASS | client_app refresh navigation is strict
PASS | pos_app refresh function
PASS | pos_app refreshes business object
PASS | pos_app refresh strict runtime
PASS | pos_app strict refresh does not silently stale
PASS | pos_app refresh runtime binding persisted
PASS | pos_app local store id updated after refresh
PASS | pos_app active content remounted on refresh
PASS | pos_app refreshes navigation
PASS | pos_app refresh navigation is strict
PASS | Client desktop Refresh button
PASS | Client mobile Refresh icon
PASS | POS sidebar Refresh action
PASS | POS Refresh protects unheld cart
PASS | Resume opens held workspace
PASS | Resume blocks non-empty cart
PASS | Held page stays inside product workspace
PASS | Held invoices full page method
PASS | Held invoices responsive grid
PASS | Held cards show customer/item/time/total
PASS | Held page has back/products controls
PASS | Selecting held sale restores and closes workspace
PASS | Hold uses center workspace not modal
PASS | legacy horizontal held strip removed
PASS | POS sales uses exact-terminal v473 RPC
PASS | POS purchases uses exact-terminal v473 RPC
PASS | POS expenses uses exact-terminal v473 RPC
PASS | POS return lookup uses today v473 RPC
PASS | Cashier screen history is today only
PASS | Cashier screen says Today shifts
PASS | Cashier history directs older records to Terminal Daily
PASS | POS Sales title today
